ISim log file
Running: C:\training\verilog\ex06\ec06proj\MinMaxtf_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb C:/training/verilog/ex06/ec06proj/MinMaxtf_isim_beh.wdb 
ISim O.40d (signature 0x79f3f3a8)
This is a Full version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 us
Simulator is doing circuit initialization process.
Finished circuit initialization process.
Time MinMax X Y Output
  0.0ns 0 x  x  x
 10.0ns 0 0  x  0
 20.0ns 0 0  0  0
 30.0ns 0 0  1  0
 40.0ns 0 0  2  0
 50.0ns 0 0  3  0
 60.0ns 0 0  4  0
 70.0ns 0 0  5  0
 80.0ns 0 0  6  0
 90.0ns 0 0  7  0
100.0ns 0 0  8  0
110.0ns 0 0  9  0
120.0ns 0 0 10  0
130.0ns 0 0 11  0
140.0ns 0 0 12  0
150.0ns 0 0 13  0
160.0ns 0 0 14  0
170.0ns 0 0 15  0
180.0ns 0 1 15  1
190.0ns 0 1  0  0
200.0ns 0 1  1  1
210.0ns 0 1  2  1
220.0ns 0 1  3  1
230.0ns 0 1  4  1
240.0ns 0 1  5  1
250.0ns 0 1  6  1
260.0ns 0 1  7  1
270.0ns 0 1  8  1
280.0ns 0 1  9  1
290.0ns 0 1 10  1
300.0ns 0 1 11  1
310.0ns 0 1 12  1
320.0ns 0 1 13  1
330.0ns 0 1 14  1
340.0ns 0 1 15  1
350.0ns 0 2 15  2
360.0ns 0 2  0  0
370.0ns 0 2  1  1
380.0ns 0 2  2  2
390.0ns 0 2  3  2
400.0ns 0 2  4  2
410.0ns 0 2  5  2
420.0ns 0 2  6  2
430.0ns 0 2  7  2
440.0ns 0 2  8  2
450.0ns 0 2  9  2
460.0ns 0 2 10  2
470.0ns 0 2 11  2
480.0ns 0 2 12  2
490.0ns 0 2 13  2
500.0ns 0 2 14  2
510.0ns 0 2 15  2
520.0ns 0 3 15  3
530.0ns 0 3  0  0
540.0ns 0 3  1  1
550.0ns 0 3  2  2
560.0ns 0 3  3  3
570.0ns 0 3  4  3
580.0ns 0 3  5  3
590.0ns 0 3  6  3
600.0ns 0 3  7  3
610.0ns 0 3  8  3
620.0ns 0 3  9  3
630.0ns 0 3 10  3
640.0ns 0 3 11  3
650.0ns 0 3 12  3
660.0ns 0 3 13  3
670.0ns 0 3 14  3
680.0ns 0 3 15  3
690.0ns 0 4 15  4
700.0ns 0 4  0  0
710.0ns 0 4  1  1
720.0ns 0 4  2  2
730.0ns 0 4  3  3
740.0ns 0 4  4  4
750.0ns 0 4  5  4
760.0ns 0 4  6  4
770.0ns 0 4  7  4
780.0ns 0 4  8  4
790.0ns 0 4  9  4
800.0ns 0 4 10  4
810.0ns 0 4 11  4
820.0ns 0 4 12  4
830.0ns 0 4 13  4
840.0ns 0 4 14  4
850.0ns 0 4 15  4
860.0ns 0 5 15  5
870.0ns 0 5  0  0
880.0ns 0 5  1  1
890.0ns 0 5  2  2
900.0ns 0 5  3  3
